"","Group.1","x"
"1","Region 1","CT,ME,MA,NH,RI,VT"
"2","Region 10","AK,ID,OR,WA"
"3","Region 2","NJ,NY,NA,NA"
"4","Region 3","DE,NA,MD,PA,VA,WV"
"5","Region 4","AL,FL,GA,KY,MS,NC,SC,TN"
"6","Region 5","IL,IN,MI,MN,OH,WI"
"7","Region 6","AR,LA,NM,OK,TX"
"8","Region 7","IA,KS,MO,NE"
"9","Region 8","CO,MT,ND,SD,UT,WY"
"10","Region 9","AZ,CA,HI,NV,NA,NA,NA,NA,NA,NA"
